# https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2025+Input_Answer.csv?filter%5Bcompany_name%5D=&filter%5Bmetric_type%5D=Researched
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-19 02:26:43 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~22318254,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,"Shimamura Co., Ltd.",2025,Yes,https://wikirate.org/~22257368
https://wikirate.org/~22318261,Fashion Revolution+Annual value chain/scope 3 carbon footprint,"Shimamura Co., Ltd.",2025,Yes,https://wikirate.org/~22257368
https://wikirate.org/~22318312,Fashion Revolution+Discloses Details on Climate-Related Risks,"Shimamura Co., Ltd.",2025,Yes,https://wikirate.org/~22257368
https://wikirate.org/~22305938,Fashion Revolution+Disclose how the company sources energy for its own facilities,Max Fashion,2025,Yes,https://wikirate.org/~22257575
https://wikirate.org/~22317942,Fashion Revolution+Disclose how the company sources energy for its own facilities,Shein,2025,Yes,https://wikirate.org/~22257364
https://wikirate.org/~22317956,Fashion Revolution+Discloses Details on Climate-Related Risks,Shein,2025,Yes,https://wikirate.org/~22260431
https://wikirate.org/~22311874,Fashion Revolution+Discloses manufacturing facilities (specific location),Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22311885,Fashion Revolution+Discloses name of parent company for each manufacturing facility,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22258953
https://wikirate.org/~22311893,Fashion Revolution+Discloses address of manufacturing facilities,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22258953
https://wikirate.org/~22311897,Fashion Revolution+Discloses type of products or services (manufacturing facilities),Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22311902,Fashion Revolution+Publicly available list of manufacturing facilities in open data format,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22258953
https://wikirate.org/~22311980,Fashion Revolution+Commitment to Degrowth,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22312055,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22312070,Fashion Revolution+Disclose what energy is used in the company's owned and operated facilities,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22312100,Fashion Revolution+Disclose how the company sources energy for its own facilities,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22255293
https://wikirate.org/~22312114,Fashion Revolution+Discloses Details on Climate-Related Risks,Paris (Almacenes Paris),2025,Yes,https://wikirate.org/~22256568
https://wikirate.org/~22261827,Fashion Revolution+Disclose how the company sources energy for its own facilities,AJIO,2025,Yes,https://wikirate.org/~22256125
https://wikirate.org/~22261860,Fashion Revolution+Discloses Details on Climate-Related Risks,AJIO,2025,Yes,https://wikirate.org/~22256139
https://wikirate.org/~22319330,Fashion Revolution+Disclose how the company sources energy for its own facilities,Splash,2025,Yes,https://wikirate.org/~22256946
https://wikirate.org/~22287887,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,"Fanatics, Inc",2025,Yes,https://wikirate.org/~22256163
https://wikirate.org/~22261837,Fashion Revolution+Disclose how the company sources energy for its own facilities,Reliance Trends,2025,Yes,https://wikirate.org/~22256125
https://wikirate.org/~22261865,Fashion Revolution+Discloses Details on Climate-Related Risks,Reliance Trends,2025,Yes,https://wikirate.org/~22256139
https://wikirate.org/~22327853,Fashion Revolution+Percentage of Executive Pay Linked to Carbon Reduction,GU,2025,Yes,https://wikirate.org/~22256674
https://wikirate.org/~22327889,Fashion Revolution+Discloses manufacturing facilities (specific location),GU,2025,Yes,https://wikirate.org/~22258617
https://wikirate.org/~22327903,Fashion Revolution+Discloses name of parent company for each manufacturing facility,GU,2025,Yes,https://wikirate.org/~22258617
https://wikirate.org/~22327913,Fashion Revolution+Discloses address of manufacturing facilities,GU,2025,Yes,https://wikirate.org/~22258617
https://wikirate.org/~22327923,Fashion Revolution+Discloses type of products or services (manufacturing facilities),GU,2025,Yes,https://wikirate.org/~22258617
https://wikirate.org/~22327933,Fashion Revolution+Publicly available list of manufacturing facilities in open data format,GU,2025,Yes,https://wikirate.org/~22258617
https://wikirate.org/~22327943,Fashion Revolution+List of Manufacturing facilities contributed to Open Supply Hub,GU,2025,Yes,https://wikirate.org/~22260389
https://wikirate.org/~22327954,Fashion Revolution+Proportion of the supply chain that the brand directly owns or controls at finished product manufacturing factories,GU,2025,Yes,https://wikirate.org/~22256656
https://wikirate.org/~22327977,Fashion Revolution+Discloses processing facilities (specific location),GU,2025,Yes,https://wikirate.org/~22256705
https://wikirate.org/~22327987,Fashion Revolution+Discloses name of parent company for each processing facility,GU,2025,Yes,https://wikirate.org/~22256705
https://wikirate.org/~22327999,Fashion Revolution+Discloses address of processing facilities,GU,2025,Yes,https://wikirate.org/~22256705
https://wikirate.org/~22328009,Fashion Revolution+Discloses type of products or services (processing facilities),GU,2025,Yes,https://wikirate.org/~22256705
https://wikirate.org/~22328019,Fashion Revolution+Publicly available list of processing facilities in open data format,GU,2025,Yes,https://wikirate.org/~22256705
https://wikirate.org/~22328029,Fashion Revolution+List of Processing facilities contributed to Open Supply Hub,GU,2025,Yes,https://wikirate.org/~22260389
https://wikirate.org/~22328038,Fashion Revolution+Proportion of the supply chain that the brand directly owns or controls at intermediate material processing & material manufacturing level,GU,2025,Yes,https://wikirate.org/~22256656
https://wikirate.org/~22328115,Fashion Revolution+Decarbonisation Commitment,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328137,Fashion Revolution+Decarbonisation Progress,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328250,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328260,Fashion Revolution+Annual value chain/scope 3 carbon footprint,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328278,Fashion Revolution+Disclose what energy is used in the company's owned and operated facilities,GU,2025,Yes,https://wikirate.org/~22256697
https://wikirate.org/~22328348,Fashion Revolution+Disclose how the company sources energy for its own facilities,GU,2025,Yes,https://wikirate.org/~22256669
https://wikirate.org/~22328379,Fashion Revolution+Discloses Details on Climate-Related Risks,GU,2025,Yes,https://wikirate.org/~22256674
https://wikirate.org/~22328437,Fashion Revolution+Discloses Supplier Engagement on Climate Target Setting,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328447,Fashion Revolution+Discloses Supplier Engagement in Climate Adaptation Strategy,GU,2025,Yes,https://wikirate.org/~22256665
https://wikirate.org/~22328491,"Fashion Revolution+Discloses number or % of supplier facilities that have independent, democratically elected trade unions",GU,2025,Yes,https://wikirate.org/~22258634
https://wikirate.org/~22317713,Fashion Revolution+Supplier Incentives to Improve Environmental Impacts,Shein,2025,Yes,https://wikirate.org/~22260436
https://wikirate.org/~22317753,Fashion Revolution+Proportion of the supply chain that the brand directly owns or controls at finished product manufacturing factories,Shein,2025,Yes,https://wikirate.org/~22256097
https://wikirate.org/~22317789,Fashion Revolution+Proportion of the supply chain that the brand directly owns or controls at intermediate material processing & material manufacturing level,Shein,2025,Yes,https://wikirate.org/~22256097
https://wikirate.org/~22317825,Fashion Revolution+Decarbonisation Commitment,Shein,2025,Yes,https://wikirate.org/~22260422
https://wikirate.org/~22317830,Fashion Revolution+Long-term (2040-2050) science-based targets,Shein,2025,Yes,https://wikirate.org/~22260422
https://wikirate.org/~22317894,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,Shein,2025,Yes,https://wikirate.org/~22257364
https://wikirate.org/~22317900,Fashion Revolution+Annual value chain/scope 3 carbon footprint,Shein,2025,Yes,https://wikirate.org/~22257364
https://wikirate.org/~22317910,Fashion Revolution+Disclose what energy is used in the company's owned and operated facilities,Shein,2025,Yes,https://wikirate.org/~22257360
https://wikirate.org/~22301127,Fashion Revolution+Decarbonisation Commitment,La Redoute,2025,Yes,https://wikirate.org/~22256240
https://wikirate.org/~22276786,Fashion Revolution+Decarbonisation Commitment,Carolina Herrera,2025,Yes,https://wikirate.org/~22260617
https://wikirate.org/~22276792,Fashion Revolution+Long-term (2040-2050) science-based targets,Carolina Herrera,2025,Yes,https://wikirate.org/~22260617
https://wikirate.org/~22276856,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,Carolina Herrera,2025,Yes,https://wikirate.org/~22256339
https://wikirate.org/~22276862,Fashion Revolution+Annual value chain/scope 3 carbon footprint,Carolina Herrera,2025,Yes,https://wikirate.org/~22256339
https://wikirate.org/~22276872,Fashion Revolution+Disclose what energy is used in the company's owned and operated facilities,Carolina Herrera,2025,Yes,https://wikirate.org/~22256339
https://wikirate.org/~22276902,Fashion Revolution+Disclose how the company sources energy for its own facilities,Carolina Herrera,2025,Yes,https://wikirate.org/~22256339
https://wikirate.org/~22287537,Fashion Revolution+Annual carbon footprint or GHG emissions in Scopes 1&2,Famous Footwear,2025,Yes,https://wikirate.org/~22256556
https://wikirate.org/~22287543,Fashion Revolution+Annual value chain/scope 3 carbon footprint,Famous Footwear,2025,Yes,https://wikirate.org/~22256556
https://wikirate.org/~22287727,Fashion Revolution+Discloses manufacturing facilities (specific location),"Fanatics, Inc",2025,Yes,https://wikirate.org/~22260522
