# Openweave fashion brand tracker. See docs/data-sources/README.md for full provenance.
# transparency_score: Fashion Transparency Index 2023, (c) Fashion Revolution CIC, used with attribution.
# sbti_near_term_target: Science Based Targets initiative, (c) SBTi. fashion_pact: The Fashion Pact. certified_b_corp: B Lab.
# ownership: public corporate record. Independent, non-commercial tool; not affiliated with any brand named.
brand_name,parent_company,segment,country_or_region,user_recognition_level,ownership_provenance,fashion_pact,certified_b_corp,sbti_near_term_target,sustainability_report_url,annual_report_url,transparency_source,transparency_score,climate_target_summary,scope_1_2_disclosed,scope_3_disclosed,materials_notes,supply_chain_notes,circularity_notes,source_quality,needs_manual_research,notes
Abercrombie & Fitch,Abercrombie & Fitch Co.,Fast fashion,United States,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),33,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Adidas,Adidas AG,Sportswear,Germany,high,Needs research,signatory,Needs research,validated (brand),https://www.adidas-group.com/en/sustainability/,,Fashion Transparency Index 2023 (Fashion Revolution),56,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Aeropostale,Authentic Brands Group LLC,Fast fashion,United States,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),3,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
AJIO,Reliance Retail,Online retail,India,low,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),8,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ALDI Nord,ALDI Nord,Department & value,Germany,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),31,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ALDI SOUTH,ALDI SÜD,Department & value,Germany,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),34,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ALDO,The Aldo Group,Footwear,Canada,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),14,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
Amazon,"Amazon.com, Inc.",Online retail,United States,high,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),26,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
American Eagle,American Eagle Outfitters,Fast fashion,United States,high,Needs research,Needs research,Needs research,validated (brand),,,Fashion Transparency Index 2023 (Fashion Revolution),21,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
ANTA,ANTA Sports,Sportswear,China,medium,Needs research,Needs research,Needs research,Needs research,,,Fashion Transparency Index 2023 (Fashion Revolution),0,Needs research,Needs research,Needs research,Needs research,Needs research,Needs research,Verified (FR press release / trade coverage),no,"Fashion Transparency Index 2023, published by Fashion Revolution."
